Isomer,Smile,Energy(H),HOMO(H),LUMO(H)
Isomer0,[N+]1(CC)=CN(CCCCCCCCC)(C=C1),-658.699348886,-0.39379,-0.18026,
Isomer1,[N+]1(CC)=CN(CCCCCCC(C)C)(C=C1),-658.701601322,-0.39171,-0.18053,
Isomer2,[N+]1(CC)=CN(CCCCCC(C)CC)(C=C1),-658.700889977,-0.39239,-0.18079,
Isomer3,[N+]1(CC)=CN(CCCCCC(C)(C)C)(C=C1),-658.705067280,-0.39820,-0.18060,
Isomer4,[N+]1(CC)=CN(CCCCC(C)CCC)(C=C1),-658.700731947,-0.39678,-0.18045,
Isomer5,[N+]1(CC)=CN(CCCCC(C)C(C)C)(C=C1),-658.700812696,-0.39559,-0.18066,
Isomer6,[N+]1(CC)=CN(CCCCC(CC)CC)(C=C1),-658.700901052,-0.39647,-0.18019,
Isomer7,[N+]1(CC)=CN(CCCCC(C)(C)CC)(C=C1),-658.703111685,-0.40081,-0.17966,
Isomer8,[N+]1(CC)=CN(CCCC(C)CCCC)(C=C1),-658.701197059,-0.40123,-0.18026,
Isomer9,[N+]1(CC)=CN(CCCC(C)CC(C)C)(C=C1),-658.703540918,-0.40163,-0.18016,
Isomer10,[N+]1(CC)=CN(CCCC(C)C(C)CC)(C=C1),-658.701300838,-0.40138,-0.18022,
Isomer11,[N+]1(CC)=CN(CCCC(C)C(C)(C)C)(C=C1),-658.704414809,-0.41102,-0.18203,
Isomer12,[N+]1(CC)=CN(CCCC(CC)CCC)(C=C1),-658.700683434,-0.40722,-0.17963,
Isomer13,[N+]1(CC)=CN(CCCC(CC)C(C)C)(C=C1),-658.703467679,-0.41211,-0.17963,
Isomer14,[N+]1(CC)=CN(CCCC(C)(C)CCC)(C=C1),-658.703449108,-0.40515,-0.17979,
Isomer15,[N+]1(CC)=CN(CCCC(C)(C)C(C)C)(C=C1),-658.701907828,-0.40472,-0.17826,
Isomer16,[N+]1(CC)=CN(CCCC(C)(CC)CC)(C=C1),-658.701343301,-0.41074,-0.17908,
Isomer17,[N+]1(CC)=CN(CCC(C)CCCCC)(C=C1),-658.701374904,-0.40415,-0.17972,
Isomer18,[N+]1(CC)=CN(CCC(C)CCC(C)C)(C=C1),-658.703778250,-0.40712,-0.17953,
Isomer19,[N+]1(CC)=CN(CCC(C)CC(C)CC)(C=C1),-658.702976981,-0.41303,-0.17935,
Isomer20,[N+]1(CC)=CN(CCC(C)CC(C)(C)C)(C=C1),-658.704445009,-0.41822,-0.18097,
Isomer21,[N+]1(CC)=CN(CCC(C)C(C)CCC)(C=C1),-658.702288308,-0.41317,-0.17891,
Isomer22,[N+]1(CC)=CN(CCC(C)C(C)C(C)C)(C=C1),-658.706187121,-0.41979,-0.18166,
Isomer23,[N+]1(CC)=CN(CCC(C)C(CC)CC)(C=C1),-658.704769981,-0.41746,-0.18151,
Isomer24,[N+]1(CC)=CN(CCC(C)C(C)(C)CC)(C=C1),-658.707044854,-0.42144,-0.18084,
Isomer25,[N+]1(CC)=CN(CCC(CC)CCCC)(C=C1),-658.700882046,-0.41106,-0.17928,
Isomer26,[N+]1(CC)=CN(CCC(CC)CC(C)C)(C=C1),-658.705777412,-0.42278,-0.18042,
Isomer27,[N+]1(CC)=CN(CCC(CC)C(C)CC)(C=C1),-658.702078034,-0.41870,-0.18155,
Isomer28,[N+]1(CC)=CN(CCC(CC)C(C)(C)C)(C=C1),-658.702767229,-0.42105,-0.18138,
Isomer29,[N+]1(CC)=CN(CCC(CCC)CCC)(C=C1),-658.701901200,-0.42779,-0.17875,
Isomer30,[N+]1(CC)=CN(CCC(C(C)C)CCC)(C=C1),-658.704005440,-0.42427,-0.18155,
Isomer31,[N+]1(CC)=CN(CCC(C(C)C)C(C)C)(C=C1),-658.700809736,-0.41643,-0.18017,
Isomer32,[N+]1(CC)=CN(CCC(C)(C)CCCC)(C=C1),-658.703751712,-0.40864,-0.17897,
Isomer33,[N+]1(CC)=CN(CCC(C)(C)CC(C)C)(C=C1),-658.703319672,-0.41262,-0.17865,
Isomer34,[N+]1(CC)=CN(CCC(C)(C)C(C)CC)(C=C1),-658.701330052,-0.41598,-0.17632,
Isomer35,[N+]1(CC)=CN(CCC(C)(C)C(C)(C)C)(C=C1),-658.702713230,-0.41515,-0.17845,
Isomer36,[N+]1(CC)=CN(CCC(C)(CC)CCC)(C=C1),-658.704334650,-0.41754,-0.17888,
Isomer37,[N+]1(CC)=CN(CCC(C)(CC)C(C)C)(C=C1),-658.702950344,-0.41321,-0.17867,
Isomer38,[N+]1(CC)=CN(CCC(CC)(CC)CC)(C=C1),-658.703948758,-0.41659,-0.17854,
Isomer39,[N+]1(CC)=CN(CC(C)CCCCCC)(C=C1),-658.703081415,-0.40239,-0.18109,
Isomer40,[N+]1(CC)=CN(CC(C)CCCC(C)C)(C=C1),-658.705160983,-0.40669,-0.18105,
Isomer41,[N+]1(CC)=CN(CC(C)CCC(C)CC)(C=C1),-658.704805555,-0.40749,-0.18075,
Isomer42,[N+]1(CC)=CN(CC(C)CCC(C)(C)C)(C=C1),-658.708552383,-0.41453,-0.18072,
Isomer43,[N+]1(CC)=CN(CC(C)CC(C)CCC)(C=C1),-658.705193905,-0.41261,-0.18059,
Isomer44,[N+]1(CC)=CN(CC(C)CC(C)C(C)C)(C=C1),-658.705891826,-0.41121,-0.18016,
Isomer45,[N+]1(CC)=CN(CC(C)CC(CC)CC)(C=C1),-658.705367649,-0.41649,-0.18013,
Isomer46,[N+]1(CC)=CN(CC(C)CC(C)(C)CC)(C=C1),-658.705391786,-0.41942,-0.17982,
Isomer47,[N+]1(CC)=CN(CC(C)C(C)CCCC)(C=C1),-658.705468191,-0.42093,-0.17711,
Isomer48,[N+]1(CC)=CN(CC(C)C(C)CC(C)C)(C=C1),-658.707795876,-0.42100,-0.17738,
