Isomer,Smile,Energy(H),HOMO(H),LUMO(H)
Isomer0,[N+]1(CCC)=CN(CCCCCCC)(C=C1),-619.411133974,-0.41304,-0.18405,
Isomer1,[N+]1(C(C)C)=CN(CCCCCCC)(C=C1),-619.414452522,-0.40682,-0.17766,
Isomer2,[N+]1(CCC)=CN(CCCCC(C)C)(C=C1),-619.413140769,-0.41941,-0.18336,
Isomer3,[N+]1(C(C)C)=CN(CCCCC(C)C)(C=C1),-619.416777187,-0.41976,-0.17968,
Isomer4,[N+]1(CCC)=CN(CCCC(C)CC)(C=C1),-619.414796449,-0.42595,-0.18142,
Isomer5,[N+]1(C(C)C)=CN(CCCC(C)CC)(C=C1),-619.416767852,-0.42242,-0.17826,
Isomer6,[N+]1(CCC)=CN(CCCC(C)(C)C)(C=C1),-619.415423103,-0.42994,-0.17992,
Isomer7,[N+]1(C(C)C)=CN(CCCC(C)(C)C)(C=C1),-619.419084312,-0.42957,-0.17570,
Isomer8,[N+]1(CCC)=CN(CCC(C)CCC)(C=C1),-619.413278303,-0.43109,-0.18291,
Isomer9,[N+]1(C(C)C)=CN(CCC(C)CCC)(C=C1),-619.417594831,-0.43255,-0.17865,
Isomer10,[N+]1(CCC)=CN(CCC(C)C(C)C)(C=C1),-619.416302645,-0.43503,-0.18082,
Isomer11,[N+]1(C(C)C)=CN(CCC(C)C(C)C)(C=C1),-619.418085969,-0.43407,-0.17901,
Isomer12,[N+]1(CCC)=CN(CCC(CC)CC)(C=C1),-619.414932744,-0.43532,-0.18045,
Isomer13,[N+]1(C(C)C)=CN(CCC(CC)CC)(C=C1),-619.417715622,-0.43238,-0.17576,
Isomer14,[N+]1(CCC)=CN(CCC(C)(C)CC)(C=C1),-619.413643759,-0.42939,-0.17880,
Isomer15,[N+]1(C(C)C)=CN(CCC(C)(C)CC)(C=C1),-619.417134204,-0.42914,-0.17572,
Isomer16,[N+]1(CCC)=CN(CC(C)CCCC)(C=C1),-619.415089110,-0.42523,-0.17992,
Isomer17,[N+]1(C(C)C)=CN(CC(C)CCCC)(C=C1),-619.417343235,-0.42484,-0.17826,
Isomer18,[N+]1(CCC)=CN(CC(C)CC(C)C)(C=C1),-619.417765367,-0.43278,-0.17971,
Isomer19,[N+]1(C(C)C)=CN(CC(C)CC(C)C)(C=C1),-619.420479793,-0.43132,-0.17748,
Isomer20,[N+]1(CCC)=CN(CC(C)C(C)CC)(C=C1),-619.415453396,-0.43323,-0.17946,
Isomer21,[N+]1(C(C)C)=CN(CC(C)C(C)CC)(C=C1),-619.418568575,-0.43190,-0.17469,
Isomer22,[N+]1(CCC)=CN(CC(C)C(C)(C)C)(C=C1),-619.418016377,-0.43536,-0.17903,
Isomer23,[N+]1(C(C)C)=CN(CC(C)C(C)(C)C)(C=C1),-619.421363705,-0.43437,-0.17428,
Isomer24,[N+]1(CCC)=CN(CC(CC)CCC)(C=C1),-619.414587856,-0.43440,-0.17962,
Isomer25,[N+]1(C(C)C)=CN(CC(CC)CCC)(C=C1),-619.417211061,-0.43187,-0.17709,
